text_clean;text_tokens
tadi nya saya kasih bintang tapi gara kemaren ada masalah sama pembelian tiket respon customer service lama saya kecewa;['tadi', 'nya', 'saya', 'kasih', 'bintang', 'tapi', 'gara', 'kemaren', 'ada', 'masalah', 'sama', 'pembelian', 'tiket', 'respon', 'customer', 'service', 'lama', 'saya', 'kecewa']
oke sudah lancar;['oke', 'sudah', 'lancar']
gk bagusmasak aku udah pesen udah bayar udah dikonfirmasi jg di apknya tpi pas waktu mau tukar gk bisa tulisannya nmr hp tidak ditemukan pdhl nmr masih aktif kuota jg masih bnyk pas mau ngehubungin customer servis jg gk bisa duitnya gk balik lgi;['gk', 'bagusmasak', 'aku', 'udah', 'pesen', 'udah', 'bayar', 'udah', 'dikonfirmasi', 'jg', 'di', 'apknya', 'tpi', 'pas', 'waktu', 'mau', 'tukar', 'gk', 'bisa', 'tulisannya', 'nmr', 'hp', 'tidak', 'ditemukan', 'pdhl', 'nmr', 'masih', 'aktif', 'kuota', 'jg', 'masih', 'bnyk', 'pas', 'mau', 'ngehubungin', 'customer', 'servis', 'jg', 'gk', 'bisa', 'duitnya', 'gk', 'balik', 'lgi']
eror gabisa bikin akun yang jagain server kurang pro;['eror', 'gabisa', 'bikin', 'akun', 'yang', 'jagain', 'server', 'kurang', 'pro']
gangguan terus gabisa bikin akun;['gangguan', 'terus', 'gabisa', 'bikin', 'akun']
susah amat buat pesan tiketnya bukan susah gunain aplikasinya tapi karena selalu bermasalah aplikasinya belum lagi banyak ulasan yang katanya uang tidak di refund sedangkan uang di ewallet sudah kepotong baru juga mau pakai ni aplikasi karena ada promonya begitu promonya sudah habis baru lancar aplikasinya parah sih;['susah', 'amat', 'buat', 'pesan', 'tiketnya', 'bukan', 'susah', 'gunain', 'aplikasinya', 'tapi', 'karena', 'selalu', 'bermasalah', 'aplikasinya', 'belum', 'lagi', 'banyak', 'ulasan', 'yang', 'katanya', 'uang', 'tidak', 'di', 'refund', 'sedangkan', 'uang', 'di', 'ewallet', 'sudah', 'kepotong', 'baru', 'juga', 'mau', 'pakai', 'ni', 'aplikasi', 'karena', 'ada', 'promonya', 'begitu', 'promonya', 'sudah', 'habis', 'baru', 'lancar', 'aplikasinya', 'parah', 'sih']
butuh jaringan g biar bisa lancar mesan tiketnya aplikasi apaan dah;['butuh', 'jaringan', 'g', 'biar', 'bisa', 'lancar', 'mesan', 'tiketnya', 'aplikasi', 'apaan', 'dah']
aplikasinya gak jelas muter mulu mau beli nih bukan mau minta;['aplikasinya', 'gak', 'jelas', 'muter', 'mulu', 'mau', 'beli', 'nih', 'bukan', 'mau', 'minta']
mutermuter terus gak bisa mesen tiket selalu muncul tulisan ada kendala padahal sinyal bagus tolong aplikasi dibenerin lagi kalo begini pengguna bakalan ninggalin inih aplikasi;['mutermuter', 'terus', 'gak', 'bisa', 'mesen', 'tiket', 'selalu', 'muncul', 'tulisan', 'ada', 'kendala', 'padahal', 'sinyal', 'bagus', 'tolong', 'aplikasi', 'dibenerin', 'lagi', 'kalo', 'begini', 'pengguna', 'bakalan', 'ninggalin', 'inih', 'aplikasi']
biasanya saya tidak pernah bermasalah menggunakan tix id tetapi hari ini saya tidak bisa memesan melalui tix id;['biasanya', 'saya', 'tidak', 'pernah', 'bermasalah', 'menggunakan', 'tix', 'id', 'tetapi', 'hari', 'ini', 'saya', 'tidak', 'bisa', 'memesan', 'melalui', 'tix', 'id']
eror mulu setiap gw mau mesan tiket;['eror', 'mulu', 'setiap', 'gw', 'mau', 'mesan', 'tiket']
muter teross niat buat aplikasi ga;['muter', 'teross', 'niat', 'buat', 'aplikasi', 'ga']
aplikasinya error setiap promo padahal jaringan oke aja sebenernya niat ngasih promo apa engga sih;['aplikasinya', 'error', 'setiap', 'promo', 'padahal', 'jaringan', 'oke', 'aja', 'sebenernya', 'niat', 'ngasih', 'promo', 'apa', 'engga', 'sih']
